team,points,date
Anaheim Ducks,[[58. 59. 57. ... 57. 59. 57.]],2024-04-16
Arizona Coyotes,[[77. 75. 75. ... 77. 77. 77.]],2024-04-16
Boston Bruins,[[111. 111. 109. ... 111. 111. 111.]],2024-04-16
Buffalo Sabres,[84.0],2024-04-16
Calgary Flames,[[82. 81. 81. ... 81. 81. 82.]],2024-04-16
Carolina Hurricanes,[[111. 111. 111. ... 113. 113. 111.]],2024-04-16
Chicago Blackhawks,[[53. 53. 55. ... 53. 53. 53.]],2024-04-16
Colorado Avalanche,[[107. 105. 107. ... 106. 105. 107.]],2024-04-16
Columbus Blue Jackets,[[66. 66. 66. ... 64. 64. 66.]],2024-04-16
Dallas Stars,[[111. 113. 113. ... 113. 113. 113.]],2024-04-16
Detroit Red Wings,[[91. 91. 89. ... 89. 89. 89.]],2024-04-16
Edmonton Oilers,[[104. 108. 106. ... 106. 106. 104.]],2024-04-16
Florida Panthers,[[110. 108. 109. ... 109. 108. 110.]],2024-04-16
Los Angeles Kings,[[99. 97. 97. ... 99. 99. 99.]],2024-04-16
Minnesota Wild,[[88. 90. 88. ... 90. 90. 88.]],2024-04-16
Montreal Canadiens,[[75. 76. 77. ... 77. 77. 77.]],2024-04-16
Nashville Predators,[99.0],2024-04-16
New Jersey Devils,[81.0],2024-04-16
New York Islanders,[[94. 94. 92. ... 94. 94. 92.]],2024-04-16
New York Rangers,[114.0],2024-04-16
Ottawa Senators,[[76. 76. 78. ... 76. 76. 76.]],2024-04-16
Philadelphia Flyers,[[89. 87. 87. ... 87. 89. 87.]],2024-04-16
Pittsburgh Penguins,[[88. 88. 90. ... 88. 88. 90.]],2024-04-16
San Jose Sharks,[[47. 47. 47. ... 48. 47. 47.]],2024-04-16
Seattle Kraken,[[83. 79. 82. ... 79. 81. 81.]],2024-04-16
St. Louis Blues,[[93. 91. 91. ... 91. 91. 91.]],2024-04-16
Tampa Bay Lightning,[[98. 96. 98. ... 98. 96. 96.]],2024-04-16
Toronto Maple Leafs,[[102. 106. 104. ... 104. 106. 104.]],2024-04-16
Vancouver Canucks,[[111. 111. 109. ... 111. 111. 111.]],2024-04-16
Vegas Golden Knights,[[98. 98. 98. ... 98. 96. 99.]],2024-04-16
Washington Capitals,[[89. 91. 91. ... 91. 89. 91.]],2024-04-16
Winnipeg Jets,[[107. 109. 110. ... 108. 106. 108.]],2024-04-16
