Date,Visitor,G,Home,G.1,Shootout,Att.,LOG,Notes,Season,home_score,away_score,home_ix,away_ix
2024-04-14,Arizona Coyotes,,Calgary Flames,,,,,,2024,,,4,1
2024-04-14,Carolina Hurricanes,,Chicago Blackhawks,,,,,,2024,,,6,5
2024-04-14,Seattle Kraken,,St. Louis Blues,,,,,,2024,,,25,24
2024-04-14,Colorado Avalanche,,Vegas Golden Knights,,,,,,2024,,,29,7
2024-04-15,Montreal Canadiens,,Detroit Red Wings,,,,,,2024,,,10,15
2024-04-15,San Jose Sharks,,Edmonton Oilers,,,,,,2024,,,11,23
2024-04-15,Minnesota Wild,,Los Angeles Kings,,,,,,2024,,,13,14
2024-04-15,New York Islanders,,New Jersey Devils,,,,,,2024,,,17,18
2024-04-15,Ottawa Senators,,New York Rangers,,,,,,2024,,,19,20
2024-04-15,Nashville Predators,,Pittsburgh Penguins,,,,,,2024,,,22,16
2024-04-15,Buffalo Sabres,,Tampa Bay Lightning,,,,,,2024,,,26,3
2024-04-15,Boston Bruins,,Washington Capitals,,,,,,2024,,,30,2
2024-04-16,Ottawa Senators,,Boston Bruins,,,,,,2024,,,2,20
2024-04-16,Carolina Hurricanes,,Columbus Blue Jackets,,,,,,2024,,,8,5
2024-04-16,Toronto Maple Leafs,,Florida Panthers,,,,,,2024,,,12,27
2024-04-16,Detroit Red Wings,,Montreal Canadiens,,,,,,2024,,,15,10
2024-04-16,Washington Capitals,,Philadelphia Flyers,,,,,,2024,,,21,30
2024-04-16,Calgary Flames,,Vancouver Canucks,,,,,,2024,,,28,4
2024-04-16,Chicago Blackhawks,,Vegas Golden Knights,,,,,,2024,,,29,6
2024-04-16,Seattle Kraken,,Winnipeg Jets,,,,,,2024,,,31,24
2024-04-17,Edmonton Oilers,,Arizona Coyotes,,,,,,2024,,,1,11
2024-04-17,St. Louis Blues,,Dallas Stars,,,,,,2024,,,9,25
2024-04-17,Pittsburgh Penguins,,New York Islanders,,,,,,2024,,,18,22
2024-04-17,Toronto Maple Leafs,,Tampa Bay Lightning,,,,,,2024,,,26,27
2024-04-18,San Jose Sharks,,Calgary Flames,,,,,,2024,,,4,23
2024-04-18,Edmonton Oilers,,Colorado Avalanche,,,,,,2024,,,7,11
2024-04-18,Chicago Blackhawks,,Los Angeles Kings,,,,,,2024,,,13,6
2024-04-18,Seattle Kraken,,Minnesota Wild,,,,,,2024,,,14,24
2024-04-18,Anaheim Ducks,,Vegas Golden Knights,,,,,,2024,,,29,0
2024-04-18,Vancouver Canucks,,Winnipeg Jets,,,,,,2024,,,31,28
