,team,abbr,team_index
0,Anaheim Ducks,ANA,0
1,Boston Bruins,BOS,1
2,Buffalo Sabres,BUF,2
3,Calgary Flames,CGY,3
4,Carolina Hurricanes,CAR,4
5,Chicago Blackhawks,CHI,5
6,Colorado Avalanche,COL,6
7,Columbus Blue Jackets,CBJ,7
8,Dallas Stars,DAL,8
9,Detroit Red Wings,DET,9
10,Edmonton Oilers,EDM,10
11,Florida Panthers,FLA,11
12,Los Angeles Kings,LAK,12
13,Minnesota Wild,MIN,13
14,Montreal Canadiens,MTL,14
15,Nashville Predators,NSH,15
16,New Jersey Devils,NJD,16
17,New York Islanders,NYI,17
18,New York Rangers,NYR,18
19,Ottawa Senators,OTT,19
20,Philadelphia Flyers,PHI,20
21,Pittsburgh Penguins,PIT,21
22,San Jose Sharks,SJS,22
23,Seattle Kraken,SEA,23
24,St. Louis Blues,STL,24
25,Tampa Bay Lightning,TBL,25
26,Toronto Maple Leafs,TOR,26
27,Utah Hockey Club, UTA, 27
28,Vancouver Canucks,VAN,28
29,Vegas Golden Knights,VEG,29
30,Washington Capitals,WSH,30
31,Winnipeg Jets,WPG,31
